outcome_id,grade,scope,textbook,edition,chapter,lesson,source_url,source_locator,requirement_summary,representation_type,model_ids,template_ids,activity_ids,test_ids,reviewer,status,gap
curriculum.linear_drag_motion,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,Dong luc hoc,linear-drag-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:linear-drag-motion,Linear air resistance and terminal velocity,timeseries,linear_drag_motion,linear_drag_motion_canvas,linear_drag_motion_activity,OfficialProgramExpansionTest,Vietnhb,approved,Exact linear-drag teaching model; academic review pending; owner-attested-approved:Vietnhb; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.uniform_electric_field,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,Dien truong,uniform-electric-field,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:III. Dien truong;lesson:uniform-electric-field,Uniform electric field force and motion,timeseries,uniform_electric_field,uniform_electric_field_canvas,uniform_electric_field_activity,OfficialProgramExpansionTest,Vietnhb,approved,Parallel-plate field and transverse motion; academic review pending; owner-attested-approved:Vietnhb; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.thermistor_response,11,specialized,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 11.3,thermistor-response,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:thermistor-response,Thermistor beta response and divider,timeseries,thermistor_response,thermistor_response_canvas,thermistor_response_activity,OfficialProgramExpansionTest,Vietnhb,approved,NTC beta model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.eclipse_geometry,10,specialized,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 10.2,eclipse-geometry,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:eclipse-geometry,Solar and lunar eclipse angular geometry,timeseries,eclipse_geometry,eclipse_geometry_canvas,eclipse_geometry_activity,OfficialProgramExpansionTest,Vietnhb,approved,Apparent angular diameter and alignment model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.energy_environment,10,specialized,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 10.3,energy-environment,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:energy-environment,Renewable energy mix and environmental impact,timeseries,energy_environment,energy_environment_canvas,energy_environment_activity,OfficialProgramExpansionTest,Vietnhb,approved,Energy mix emissions and efficiency project model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.source_internal_resistance,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,Dong dien mach dien,source-internal-resistance,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:IV. Dong dien va mach dien;lesson:source-internal-resistance,EMF terminal voltage internal resistance and power,timeseries,source_internal_resistance,source_internal_resistance_canvas,source_internal_resistance_activity,OfficialProgramExpansionTest,Vietnhb,approved,Source and load energy balance; academic review pending; owner-attested-approved:Vietnhb; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.energy_band_transition,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 12.3,energy-band-transition,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:energy-band-transition,Energy-band gap and photon transition,timeseries,energy_band_transition,energy_band_transition_canvas,energy_band_transition_activity,OfficialProgramExpansionTest,Vietnhb,approved,Simplified semiconductor band model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.nuclear_reaction_energy,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Vat li hat nhan,nuclear-reaction-energy,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:nuclear-reaction-energy,Nuclear reaction mass balance and released energy,timeseries,nuclear_reaction_energy,nuclear_reaction_energy_canvas,nuclear_reaction_energy_activity,OfficialProgramExpansionTest,Vietnhb,approved,Fission fusion mass-balance teaching model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.sensor_op_amp,11,specialized,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 11.3,sensor-op-amp,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:sensor-op-amp,Sensor divider op-amp and LED output,timeseries,sensor_op_amp,sensor_op_amp_canvas,sensor_op_amp_activity,OfficialProgramExpansionTest,Vietnhb,approved,LDR and thermistor wiring represented through canonical sensor resistance; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.radio_signal_chain,11,specialized,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,Chuyen de 11.2,radio-signal-chain,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:Chuyen de 11.2. Truyen thong tin bang song vo tuyen;lesson:radio-signal-chain,AM FM modulation ADC-DAC attenuation and dB,timeseries,radio_signal_chain,radio_signal_chain_canvas,radio_signal_chain_activity,OfficialProgramExpansionTest,Vietnhb,approved,AM FM and Carson bandwidth plus dB path loss; academic review pending; owner-attested-approved:Vietnhb; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.moment_equilibrium,10,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Can bang luc moment,moment-equilibrium,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Grade 10 curriculum outcome;lesson:moment-equilibrium,Moment and rotational equilibrium,timeseries,moment_equilibrium,moment_equilibrium_canvas,moment_equilibrium_activity,OfficialProgramExpansionTest,Vietnhb,approved,Planar torque balance with perpendicular components; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.damped_forced_oscillation,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,Dao dong,damped-forced-oscillation,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:I. Dao dong;lesson:damped-forced-oscillation,Damped forced oscillation and resonance,timeseries,damped_forced_oscillation,damped_forced_oscillation_canvas,damped_forced_oscillation_activity,OfficialProgramExpansionTest,Vietnhb,approved,Exact under/critical/over-damped forced oscillator solution; academic review pending; owner-attested-approved:Vietnhb; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.phase_change,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,Vat li nhiet,phase-change,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vat li nhiet va khi li tuong;lesson:phase-change,Heating curve and phase changes,timeseries,phase_change,phase_change_canvas,phase_change_activity,OfficialProgramExpansionTest,Vietnhb,approved,Piecewise sensible heating and latent heat plateaus; academic review pending; owner-attested-approved:Vietnhb; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
curriculum.xray_imaging,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 12.2,xray-imaging,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:xray-imaging,X-ray attenuation and diagnostic contrast,timeseries,xray_imaging,xray_imaging_canvas,xray_imaging_activity,OfficialProgramExpansionTest,Vietnhb,approved,Beer-Lambert diagnostic imaging model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.ct_reconstruction,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 12.2,ct-reconstruction,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:ct-reconstruction,CT projection and line integral,timeseries,ct_reconstruction,ct_reconstruction_canvas,ct_reconstruction_activity,OfficialProgramExpansionTest,Vietnhb,approved,Single-ray projection and inverse attenuation teaching model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.mri_relaxation,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 12.2,mri-relaxation,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:mri-relaxation,MRI longitudinal and transverse relaxation,timeseries,mri_relaxation,mri_relaxation_canvas,mri_relaxation_activity,OfficialProgramExpansionTest,Vietnhb,approved,Bloch relaxation approximation; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.de_broglie_diffraction,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,Chuyen de 12.3,de-broglie-diffraction,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:de-broglie-diffraction,De Broglie wavelength and electron diffraction,timeseries,de_broglie_diffraction,de_broglie_diffraction_canvas,de_broglie_diffraction_activity,OfficialProgramExpansionTest,Vietnhb,approved,Matter-wave and Bragg diffraction model; academic review pending; owner-attested-approved:Vietnhb; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
repo.kinematics,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,uniform-linear-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:uniform-linear-motion,Uniformly accelerated linear motion,timeseries,uniform_acceleration,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
repo.kinematics_projectile,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,projectile-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:projectile-motion,Projectile motion,timeseries,projectile,projectile,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Solver/reference regression passed; textbook edition and source locator are not closed; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
repo.dynamics_forces,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,newton-laws,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:newton-laws",Forces and Newton laws,timeseries,forces,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Solver/reference regression passed; dedicated subject review remains; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
repo.dynamics_collision,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,momentum-collisions,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:momentum-collisions",Momentum and collisions,timeseries,elastic_collision,collision,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Solver/reference regression passed; curriculum mapping is not closed; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
repo.oscillations_spring,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,oscillations,spring-oscillation,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:I. Dao dong;lesson:spring-oscillation,Spring oscillation,timeseries,spring,spring,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Solver/reference regression passed; academic review remains; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
repo.circuits_rc,11,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,electricity,rc-charging-discharging,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:rc-charging-discharging,RC charging and discharging,timeseries,rc_charging|rc_discharging,rc_circuit,legacy_measurement,LegacyCorePhysicsTest,Vietnhb,approved,Solver/reference regression passed; broader circuit scope remains separate; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
pilot.string_wave,11,pilot,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,transverse-string-wave-pilot,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:I. Dao động;lesson:transverse-string-wave-pilot,Harmonic transverse wave,scalarField,string_wave,string_wave_canvas,wave_probe_measurement,StringWavePhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
pilot.string_wave_source_started,11,pilot,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,source-started-wave,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:II. Sóng;lesson:source-started-wave,Wave source starts at t=0,scalarField,string_wave,string_wave_canvas,wave_source_front,StringWavePhysicsTest,Vietnhb,approved,Authoring UI does not expose source mode; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
wave.pulse,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,travelling-pulse,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:II. Sóng;lesson:travelling-pulse,Gaussian travelling pulse,scalarField,wave_pulse,wave_pulse_canvas,wave_pulse_measurement,WaveFamilyPhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
wave.reflection,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,reflection-boundary,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:II. Sóng;lesson:reflection-boundary,Reflection at fixed and free boundaries,scalarField,wave_reflection,wave_reflection_canvas,wave_reflection_measurement,WaveFamilyPhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
wave.standing,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,standing-wave,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:II. Sóng;lesson:standing-wave,Standing wave from counter-propagating waves,scalarField,standing_wave,standing_wave_canvas,standing_wave_nodes,WaveFamilyPhysicsTest,Vietnhb,approved,Fixed-end resonance constraints still need review; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
